File,Sub-brick,Mean_1  ,Mean_3  ,Mean_4  ,Mean_6  ,Mean_7  ,Mean_8  ,Mean_9  ,Mean_10  ,Mean_12  ,Mean_13  ,Mean_14  ,Mean_15  ,Mean_16  ,Mean_17  ,Mean_18  ,Mean_19  ,Mean_20  ,Mean_21  ,Mean_22  ,Mean_23  ,Mean_24  ,Mean_26  ,Mean_27  ,Mean_28  ,Mean_29  ,Mean_30  ,Mean_31  ,Mean_32  ,Mean_33  ,Mean_35  ,Mean_36  ,Mean_37  ,Mean_38  ,Mean_39  ,Mean_40  ,Mean_41  ,Mean_42  ,Mean_43  ,Mean_44  ,Mean_45  ,Mean_46  ,Mean_47  ,Mean_48  ,Mean_49  ,Mean_50  ,Mean_51  ,Mean_52  ,Mean_53  ,Mean_54  ,Mean_55  ,Mean_56  ,Mean_57  ,Mean_58  ,Mean_59  ,Mean_60  ,Mean_61  ,Mean_62  ,Mean_63  ,Mean_64  ,Mean_65  ,Mean_66  ,Mean_67  ,Mean_69  ,Mean_70  ,Mean_71  ,Mean_72  ,Mean_73  ,Mean_74  ,Mean_75  ,Mean_76  ,Mean_77  ,Mean_78  ,Mean_79  ,Mean_80  ,Mean_81  ,Mean_83  ,Mean_84  ,Mean_85  ,Mean_86  ,Mean_87  ,Mean_88  ,Mean_89  ,Mean_90  ,Mean_91  ,Mean_92  ,Mean_93  ,Mean_94  ,Mean_96  ,Mean_97  ,Mean_98  ,Mean_99  ,Mean_100  ,Mean_101  ,Mean_102  ,Mean_103  ,Mean_104  ,Mean_105  ,Mean_106  ,Mean_107  ,Mean_108  ,Mean_109  ,Mean_110  ,Mean_111  ,Mean_112  ,Mean_113  ,Mean_114  ,Mean_115  ,Mean_116  ,Mean_117  ,Mean_118  ,Mean_119  ,Mean_120  ,Mean_121  ,Mean_122  ,Mean_123  ,Mean_124  ,Mean_125  ,Mean_127  ,Mean_128  ,Mean_129  ,Mean_130  ,Mean_131  ,Mean_132  ,Mean_133  ,Mean_134  ,Mean_135  ,Mean_136  ,Mean_137  ,Mean_138  ,Mean_139  ,Mean_140  ,Mean_141  ,Mean_142  ,Mean_143  ,Mean_144  ,Mean_145  ,Mean_146  ,Mean_147  ,Mean_148  ,Mean_149  ,Mean_150  ,Mean_151  ,Mean_152  ,Mean_153  ,Mean_154  ,Mean_155  ,Mean_156  ,Mean_157  ,Mean_158  ,Mean_159  ,Mean_160  ,Mean_161  ,Mean_162  ,Mean_163  ,Mean_164  ,Mean_165  ,Mean_166  ,Mean_167  ,Mean_168  ,Mean_169  ,Mean_170  ,Mean_171  ,Mean_172  ,Mean_173  ,Mean_174  ,Mean_175  ,Mean_176  ,Mean_177  ,Mean_178  ,Mean_179  ,Mean_180  ,Mean_181  ,Mean_182  ,Mean_183  ,Mean_184  ,Mean_185  ,Mean_186  ,Mean_187  ,Mean_188  ,Mean_189  ,Mean_190  ,Mean_192  ,Mean_193  ,Mean_194  ,Mean_195  ,Mean_196  ,Mean_197  ,Mean_198  ,Mean_199  ,Mean_200  
sfnwmrda0010002_session_1_rest_1.nii.gz,0[?],0.015528,0.043241,-0.000139,-0.019725,-0.064877,0.026052,-0.014235,-0.031308,-0.003723,0.018953,0.035243,-0.124511,0.124365,-0.000333,0.018541,0.003343,-0.025945,0.006799,0.048608,-0.094306,0.05567,-0.036545,-0.004566,-0.023035,-0.021033,0.003009,0.001029,-0.045715,-0.020513,-0.065294,0.016471,-0.125202,0.293346,0.105435,-0.070049,-0.024695,0.04232,-0.050846,0.029082,-0.087915,-0.026083,-0.040203,0.0035,-0.059082,-0.016417,0.009241,0.268268,-0.067574,-0.00611,-0.106639,-0.08718,0.087817,0.01592,0.010286,0.023458,-0.025094,-0.008353,0.028604,-0.008782,0.023773,-0.060459,0.019279,-0.03992,-0.042156,0.066718,0.047291,0.024038,-0.065769,0.035115,-0.149195,-0.010748,0.060914,-0.01214,0.197557,0.005254,0.051909,-0.051541,0.148527,0.017495,-0.063874,0.019044,-0.086717,0.168344,0.026514,-0.078737,-0.061251,-0.066778,-0.154858,-0.040065,-0.043123,0.133038,0.095353,-0.016303,0.010944,-0.061134,0.012299,-0.001862,0.005538,0.114715,-0.054338,-0.000073,-0.035694,-0.01053,-0.034785,-0.034555,0.009918,0.118916,0.181261,-0.041846,0.029289,-0.071678,0.003786,-0.014684,0.000728,-0.071314,-0.017128,-0.024721,0.06092,0.101572,-0.018684,0.013325,-0.040549,0.021832,0.438186,-0.030869,0.018293,-0.030136,-0.040576,0.033359,-0.006983,-0.043907,-0.047079,-0.0293,0.160675,0.024509,-0.025722,-0.056982,0.254606,-0.028852,-0.048622,-0.03224,-0.061837,-0.016674,-0.005955,0.132499,-0.005732,0.148106,-0.117136,-0.032501,0.016609,-0.068515,0.02623,-0.003016,-0.004717,-0.000998,-0.081031,0.030096,-0.065967,0.046791,-0.019697,0.036186,-0.101841,-0.107887,-0.035223,-0.030613,-0.014073,-0.041446,0.038441,-0.02756,0.016601,-0.089616,0.022402,0.051434,-0.020613,-0.004688,-0.030054,-0.02105,-0.033587,0.025108,-0.01515,-0.093262,0.012852,-0.03445,-0.042245,0.123931,-0.023251,0.008898,0.33943,0.065736,-0.042608
sfnwmrda0010002_session_1_rest_1.nii.gz,1[?],-0.020653,0.036506,-0.02524,-0.05331,-0.02057,0.065632,0.005984,-0.012505,-0.056279,0.11997,0.035189,-0.037559,0.180819,0.001448,0.02001,-0.0513,-0.089832,-0.094323,0.04805,-0.151539,0.033044,-0.012355,0.05801,-0.067592,-0.043871,0.011071,0.04176,0.004949,0.010648,-0.071292,0.047286,-0.193171,0.274428,0.19714,-0.13027,-0.019281,0.027064,-0.24346,0.05897,-0.053549,0.010979,-0.042775,0.106808,-0.021916,-0.010444,0.092712,0.357419,-0.119309,0.048635,-0.17136,-0.034022,0.048522,-0.008459,0.080442,0.031046,-0.0106,-0.028254,-0.022302,-0.085842,0.035594,-0.016053,0.095986,-0.006536,-0.020589,0.019522,0.055142,0.019687,-0.091708,0.01711,-0.165874,-0.018523,0.03238,-0.011397,0.177365,0.029385,0.077292,-0.066038,0.10953,0.012454,-0.045136,0.062068,0.002469,0.19023,0.071827,-0.128655,-0.084783,-0.130919,-0.199353,-0.04249,0.072604,0.123885,0.095715,-0.007546,0.01703,-0.017703,0.00694,0.009083,0.019568,0.160716,-0.071677,0.030185,-0.035342,0.039857,-0.047138,0.028987,0.028008,0.193833,0.186251,-0.063683,0.086192,-0.09917,0.048564,0.010262,0.045464,-0.042882,0.033346,0.044565,0.05454,0.081801,-0.005312,0.057336,-0.177309,0.019054,0.434889,-0.054478,0.040925,-0.010327,0.019594,0.092932,0.020726,-0.087206,-0.090261,-0.017946,0.088771,0.078215,0.057652,-0.152028,0.146859,-0.01469,-0.031938,-0.022817,-0.029821,-0.052835,0.019469,-0.087623,0.036779,0.198963,-0.078755,-0.016497,0.026132,0.017535,0.002217,0.012225,-0.009356,0.036249,-0.185987,0.10762,-0.056936,0.135328,-0.092729,0.023853,-0.161725,-0.025241,-0.056958,-0.000003,-0.04519,-0.003477,0.019171,-0.094017,0.066974,-0.072683,0.031207,0.146718,-0.028601,-0.003534,0.015176,-0.032176,-0.073048,0.061058,-0.025917,-0.134121,-0.004259,-0.076658,-0.161855,0.10119,-0.041271,0.064665,0.296561,0.074467,-0.027761
sfnwmrda0010002_session_1_rest_1.nii.gz,2[?],-0.054051,0.004255,-0.073429,-0.074954,0.022054,0.054883,0.035943,0.014321,-0.066596,0.14871,0.021048,0.071777,0.201635,0.015174,0.020048,-0.065409,-0.112206,-0.125575,0.02875,-0.178628,0.024235,0.028603,0.117203,-0.127507,-0.072551,0.027582,0.050756,0.052029,0.04339,-0.058259,0.033978,-0.197458,0.203229,0.160353,-0.110955,-0.014903,0.004713,-0.363742,0.056716,-0.018938,0.040136,-0.007524,0.072228,0.014288,0.017233,0.191024,0.350149,-0.123477,0.08984,-0.20648,0.054682,-0.009462,-0.022451,0.067239,0.017315,0.006688,-0.035496,-0.037988,-0.15555,0.032072,0.01329,0.123842,0.061198,0.022177,-0.019121,0.045206,0.033347,-0.093949,0.006865,-0.136767,-0.016314,-0.043616,-0.013474,0.169649,0.048154,0.074054,-0.059972,0.045895,0.040722,-0.014935,0.067638,0.106393,0.127343,0.089474,-0.13946,-0.108685,-0.17345,-0.19994,0.001009,0.082686,0.075474,0.058101,0.009041,0.021751,0.094065,0.017881,0.018612,0.05358,0.189881,-0.056053,0.050251,-0.050313,0.023352,-0.094965,0.091653,0.040645,0.136981,0.247533,-0.05793,0.107297,-0.115553,0.05871,0.042544,0.073116,0.00469,0.038239,0.094885,0.063548,0.051969,0.0063,0.112816,-0.28557,0.011131,0.319377,-0.056874,0.10077,0.041928,0.066277,0.124203,0.01273,-0.082173,-0.10816,0.004164,-0.04366,0.083281,0.116436,-0.221301,0.074719,-0.018952,-0.013123,0.023763,0.041365,-0.099323,0.051817,-0.242717,0.05144,0.187415,-0.040504,0.018093,-0.000701,0.098401,-0.041873,0.045161,-0.007053,0.074293,-0.204603,0.186993,-0.018263,0.141103,-0.143751,0.008785,-0.181492,0.072622,-0.067538,0.002659,-0.077884,0.024249,-0.004391,-0.107553,0.060755,-0.058491,-0.01629,0.161556,-0.029836,-0.013174,0.060612,-0.030121,-0.096482,0.102533,-0.028192,-0.138524,-0.010288,-0.096172,-0.23733,0.014856,-0.025993,0.097026,0.190194,0.061406,-0.026442
sfnwmrda0010002_session_1_rest_1.nii.gz,3[?],-0.046618,-0.044385,-0.113743,-0.075341,0.026458,-0.027503,0.054058,0.032378,-0.002263,0.065128,-0.012848,0.117771,0.159902,0.030308,0.02205,-0.008081,-0.088269,-0.023121,-0.002399,-0.161329,0.040104,0.061883,0.14408,-0.188202,-0.1003,0.058048,0.001775,0.043863,0.056899,-0.050319,-0.029321,-0.128791,0.098528,-0.004628,0.022222,-0.015863,-0.021827,-0.305224,0.00397,-0.018238,0.035836,0.034263,-0.085563,0.011747,0.067035,0.244195,0.213987,-0.063045,0.087313,-0.19465,0.129658,-0.049156,-0.018579,-0.038131,-0.01046,0.008743,-0.024133,0.009516,-0.179298,0.011883,-0.003297,0.068131,0.136728,0.050281,-0.008112,0.021188,0.0744,-0.067622,0.016564,-0.095334,-0.003563,-0.139263,-0.029171,0.213187,0.049317,0.035626,-0.05747,-0.012911,0.096473,0.005679,0.030313,0.152282,-0.023842,0.055014,-0.099179,-0.140462,-0.183726,-0.152211,0.087903,-0.020178,0.008801,-0.008904,0.008525,0.021611,0.225834,0.047692,0.026677,0.089254,0.207142,-0.019306,0.042929,-0.091989,-0.090143,-0.177209,0.11337,0.036509,-0.014193,0.334025,-0.032189,0.06942,-0.122571,0.014163,0.064088,0.051751,0.039332,-0.01615,0.079375,0.081295,0.039956,0.005755,0.143427,-0.311557,0.002363,0.122009,-0.043831,0.179033,0.087177,0.059792,0.09422,-0.063471,-0.015691,-0.081508,0.017068,-0.186441,0.022969,0.098996,-0.228969,0.071501,-0.058309,-0.006068,0.081713,0.11329,-0.130358,0.078668,-0.195232,0.005788,0.096138,-0.044804,0.051924,-0.04806,0.111883,-0.084743,0.06338,0.002646,0.080341,-0.104028,0.225303,0.025241,0.035845,-0.127177,0.006969,-0.160901,0.116849,-0.052139,-0.03178,-0.08413,0.009205,-0.017128,-0.031712,-0.014897,-0.080975,-0.091686,0.08977,-0.036867,-0.02681,0.062646,0.008227,-0.089975,0.119032,-0.025378,-0.102281,0.007675,-0.064316,-0.204635,-0.097979,0.028468,0.072797,0.059322,0.031237,-0.057445
sfnwmrda0010002_session_1_rest_1.nii.gz,4[?],0.006704,-0.086206,-0.107254,-0.052089,-0.018352,-0.151539,0.04234,0.030079,0.119052,-0.088134,-0.057248,0.057785,0.046135,0.034075,0.025603,0.097462,-0.049458,0.176488,-0.036686,-0.101399,0.065589,0.06459,0.128628,-0.207426,-0.112992,0.092662,-0.096561,-0.042715,0.037299,-0.066809,-0.114678,-0.019953,-0.013448,-0.193147,0.223753,-0.017223,-0.051198,-0.056596,-0.083507,-0.058864,-0.002772,0.046847,-0.231889,-0.039609,0.120575,0.202029,-0.023272,0.040673,0.032178,-0.132424,0.135006,-0.053203,-0.006283,-0.169627,-0.034035,-0.009656,-0.000316,0.100656,-0.133851,-0.017282,-0.061642,-0.052889,0.172517,0.034923,0.054297,-0.006854,0.12301,-0.016819,0.032419,-0.071561,0.015686,-0.209688,-0.05842,0.276721,0.031222,-0.026388,-0.071973,-0.054221,0.139387,0.007952,-0.020583,0.099184,-0.215074,-0.019797,-0.018084,-0.163687,-0.161438,-0.070251,0.177831,-0.13495,-0.054598,-0.082582,-0.031049,0.013656,0.293869,0.078517,0.029572,0.097902,0.206318,0.007943,0.009504,-0.1463,-0.25674,-0.250837,0.07917,0.010975,-0.134842,0.355397,-0.012214,-0.009018,-0.115209,-0.064781,0.057375,-0.019394,0.042469,-0.09253,-0.012472,0.086024,0.055007,-0.012316,0.113794,-0.223173,-0.002937,-0.112314,-0.027149,0.22623,0.080488,-0.009897,0.007441,-0.187186,0.080806,-0.008091,0.007521,-0.279255,-0.071298,0.001586,-0.159428,0.085319,-0.113047,-0.009446,0.105433,0.138648,-0.113292,0.087226,0.046384,-0.085184,-0.047219,-0.095392,0.061051,-0.081763,0.031671,-0.09833,0.035187,0.017072,0.033668,0.065301,0.191851,0.041821,-0.128669,-0.042058,0.024226,-0.107696,0.069175,-0.001609,-0.081267,-0.044246,-0.05533,-0.012126,0.115043,-0.117893,-0.134347,-0.132919,-0.00473,-0.06176,-0.026636,-0.0016,0.081157,-0.050588,0.085365,-0.020835,-0.037671,0.042467,0.028256,-0.055942,-0.181958,0.098272,-0.002194,-0.068941,-0.00301,-0.111624
sfnwmrda0010002_session_1_rest_1.nii.gz,5[?],0.068225,-0.096046,-0.03591,-0.013002,-0.084606,-0.246606,0.002232,0.00938,0.234281,-0.213393,-0.089417,-0.069285,-0.120317,0.019627,0.025501,0.182496,-0.031858,0.348127,-0.067769,-0.015439,0.073172,0.032293,0.08207,-0.141033,-0.095864,0.106329,-0.201011,-0.178901,-0.01204,-0.101758,-0.175629,0.071141,-0.098414,-0.265053,0.384482,-0.008322,-0.079405,0.275734,-0.158583,-0.11048,-0.047948,0.016124,-0.21099,-0.108081,0.147846,0.060966,-0.282364,0.137283,-0.058546,-0.033616,0.046889,-0.036764,-0.004176,-0.233405,-0.039282,-0.034391,0.022627,0.17911,-0.026561,-0.042783,-0.121923,-0.174912,0.128544,-0.019241,0.127061,-0.028465,0.141304,0.047451,0.024246,-0.063964,0.036937,-0.22106,-0.084839,0.276181,0.00684,-0.088199,-0.08884,-0.083844,0.121231,0.001198,-0.040918,-0.028797,-0.36608,-0.091361,0.073641,-0.138955,-0.11108,0.021377,0.213615,-0.126052,-0.103222,-0.135256,-0.102581,-0.00167,0.231234,0.0813,0.01914,0.061606,0.168781,0.002284,-0.025963,-0.176122,-0.374377,-0.254721,0.011505,-0.027141,-0.103009,0.225121,-0.020592,-0.075264,-0.082596,-0.131252,0.019087,-0.103164,0.020255,-0.128897,-0.143799,0.061284,0.080138,-0.041914,0.019533,-0.028113,-0.002607,-0.338688,-0.015356,0.195171,0.007056,-0.113679,-0.090056,-0.28484,0.148277,0.09478,-0.017625,-0.285275,-0.138022,-0.122713,-0.028781,0.026671,-0.13495,-0.008162,0.063651,0.094206,-0.029832,0.074396,0.325979,-0.163585,-0.1788,-0.151711,0.036074,-0.077981,-0.108287,-0.065901,-0.04274,0.031658,-0.055217,0.201521,0.091951,0.016306,-0.251061,0.058765,0.048851,-0.029048,-0.05066,0.074624,-0.1084,0.034117,-0.140686,0.003261,0.262262,-0.177721,-0.165551,-0.092147,-0.031568,-0.099743,0.00189,-0.111748,0.153924,0.010724,0.003488,-0.01278,0.034707,0.068142,0.160286,0.146195,-0.196085,0.140969,-0.08086,-0.182208,-0.031104,-0.155158
sfnwmrda0010002_session_1_rest_1.nii.gz,6[?],0.08552,-0.063317,0.079525,0.028039,-0.120422,-0.246582,-0.0425,-0.015848,0.275557,-0.232732,-0.086465,-0.166995,-0.292164,-0.011001,0.01567,0.179875,-0.040488,0.363916,-0.090426,0.071954,0.047495,-0.016274,0.026053,0.017343,-0.044912,0.074987,-0.258536,-0.295346,-0.071681,-0.124208,-0.175318,0.099705,-0.125958,-0.15064,0.398904,0.016639,-0.097917,0.524682,-0.17116,-0.123407,-0.062755,-0.040843,0.024318,-0.138459,0.126856,-0.124795,-0.476689,0.178563,-0.152299,0.074456,-0.101283,-0.031584,-0.023005,-0.180845,-0.026824,-0.042448,0.034025,0.192738,0.10553,-0.053612,-0.135455,-0.228112,0.004465,-0.074302,0.157363,-0.038146,0.103501,0.109542,-0.026474,-0.043016,0.058806,-0.173111,-0.084493,0.148316,-0.003022,-0.1266,-0.075404,-0.110969,0.024161,0.00348,-0.005271,-0.156087,-0.412268,-0.114463,0.141329,-0.033305,-0.038825,0.098819,0.161901,0.060113,-0.134757,-0.147468,-0.16354,-0.019395,0.03887,0.037968,-0.010236,-0.010512,0.079738,-0.031073,-0.031276,-0.144674,-0.346857,-0.158322,-0.044581,-0.057613,0.099341,-0.063289,-0.05506,-0.077859,-0.018975,-0.149657,-0.035432,-0.146683,-0.003945,-0.088291,-0.251585,0.012989,0.084938,-0.06603,-0.101604,0.220819,0.003124,-0.51725,-0.008422,0.081121,-0.101078,-0.200352,-0.138448,-0.278499,0.140824,0.196873,-0.035161,-0.212238,-0.128031,-0.196755,0.1192,-0.145881,-0.084782,0.011241,-0.033207,-0.000101,0.106008,0.050409,0.454022,-0.169675,-0.235074,-0.160787,-0.007653,-0.043829,-0.229539,0.004581,-0.136419,0.042699,-0.145585,0.224324,-0.030974,-0.035741,-0.250037,0.103348,0.056712,0.069068,-0.177007,0.145609,-0.088941,0.115232,-0.197398,0.01156,0.328953,-0.145787,-0.113726,0.022481,0.05243,-0.125295,0.055512,-0.21063,0.17851,0.073907,-0.092252,0.004347,0.096624,0.058286,0.284952,0.301446,-0.135949,0.12375,-0.10569,-0.270078,-0.055206,-0.153063
sfnwmrda0010002_session_1_rest_1.nii.gz,7[?],0.035464,-0.00201,0.186959,0.06071,-0.084622,-0.138121,-0.06067,-0.02996,0.217031,-0.149673,-0.041477,-0.152238,-0.411968,-0.049914,-0.004893,0.075093,-0.043407,0.18977,-0.097314,0.136976,-0.00065,-0.050884,-0.020537,0.21757,0.025961,-0.00256,-0.239196,-0.323043,-0.117908,-0.101137,-0.108024,0.067607,-0.095748,0.090821,0.237513,0.050452,-0.097778,0.564995,-0.102949,-0.064679,-0.029206,-0.087762,0.361604,-0.090346,0.061647,-0.269903,-0.5634,0.15019,-0.218325,0.161175,-0.229781,-0.055741,-0.053426,-0.047494,-0.008607,-0.021412,0.032646,0.132535,0.212666,-0.045284,-0.079803,-0.183456,-0.149341,-0.087612,0.120643,-0.036791,0.020196,0.15105,-0.104123,0.017606,0.082657,-0.099719,-0.043975,-0.082524,0.01599,-0.130397,-0.011239,-0.133746,-0.119925,0.026354,0.072629,-0.207371,-0.348702,-0.075287,0.165967,0.142707,0.045004,0.146649,0.042466,0.335784,-0.149776,-0.118595,-0.160867,-0.032283,-0.20226,-0.040424,-0.051855,-0.085118,-0.051414,-0.060984,0.00969,-0.043795,-0.151704,0.003598,-0.052366,-0.061148,0.357091,-0.411947,-0.085788,-0.004453,0.065257,-0.126104,-0.081538,-0.117138,-0.00842,0.009945,-0.285009,-0.032376,0.047521,-0.066368,-0.190543,0.441065,0.012829,-0.618923,0.000701,-0.06527,-0.182918,-0.227787,-0.105463,-0.148712,0.060482,0.266973,-0.024783,-0.110877,-0.040014,-0.171108,0.233374,-0.380314,0.030294,0.044718,-0.135789,-0.091366,0.248016,0.031162,0.348573,-0.087412,-0.193026,-0.100473,-0.039167,-0.011219,-0.257184,0.082388,-0.19394,0.049876,-0.189436,0.13264,-0.118552,-0.075258,-0.120702,0.055167,0.02609,0.175694,-0.239567,0.172549,-0.030138,0.156074,-0.185455,-0.002843,0.276429,-0.030406,0.033692,0.147365,0.19775,-0.10761,0.111474,-0.238608,0.128893,0.119804,-0.152888,0.032589,0.13852,0.007863,0.351257,0.331776,-0.031431,0.048621,-0.05016,-0.318241,-0.089305,-0.09521
sfnwmrda0010002_session_1_rest_1.nii.gz,8[?],-0.052505,0.054536,0.231902,0.085262,0.021757,0.024939,-0.037137,-0.026106,0.092193,-0.045237,0.029116,-0.019695,-0.439948,-0.088314,-0.029316,-0.078408,-0.003087,-0.082816,-0.08012,0.163711,-0.043208,-0.050004,-0.047624,0.376907,0.09014,-0.095468,-0.154303,-0.23665,-0.136271,-0.025858,-0.000605,0.025232,-0.055413,0.30949,-0.027238,0.075364,-0.07702,0.392101,0.017638,0.054373,0.036961,-0.092,0.604429,0.031532,-0.016489,-0.307881,-0.564409,0.080349,-0.241181,0.204762,-0.25886,-0.095973,-0.070379,0.075489,0.005634,0.018555,0.025371,0.038791,0.255517,-0.020738,0.023497,-0.072346,-0.254494,-0.046013,0.037391,-0.029057,-0.064718,0.154464,-0.163433,0.11124,0.108195,-0.046338,0.026302,-0.306599,0.059639,-0.104044,0.088207,-0.140484,-0.245613,0.066519,0.14911,-0.159103,-0.235743,-0.001204,0.155103,0.324208,0.122287,0.160169,-0.07988,0.527282,-0.149252,-0.068176,-0.072283,-0.035345,-0.371595,-0.115534,-0.084151,-0.126041,-0.185691,-0.055933,0.081696,0.094636,0.137947,0.143527,-0.007722,-0.034447,0.495142,-0.672766,-0.07667,0.107035,0.143924,-0.103407,-0.101251,-0.024729,0.011491,0.104941,-0.234297,-0.048068,-0.030824,-0.037388,-0.206818,0.554268,0.024866,-0.638041,0.01959,-0.168122,-0.190241,-0.185701,-0.009959,0.039763,-0.0413,0.284288,0.012159,-0.051644,0.077232,-0.057335,0.281382,-0.568191,0.152784,0.069765,-0.188441,-0.127615,0.339074,0.024919,0.092176,0.041987,-0.08484,0.002095,-0.035061,-0.008536,-0.168491,0.131427,-0.180684,0.055947,-0.161437,0.002027,-0.131589,-0.065835,0.06406,-0.055404,-0.047075,0.269932,-0.203943,0.132718,0.035199,0.134675,-0.100379,-0.041859,0.134672,0.110268,0.217935,0.208382,0.287265,-0.035311,0.141102,-0.173248,0.024204,0.139026,-0.145063,0.064042,0.158868,-0.059262,0.330538,0.22902,0.0753,-0.045399,0.060947,-0.320238,-0.146961,-0.004983
sfnwmrda0010002_session_1_rest_1.nii.gz,9[?],-0.114618,0.073221,0.188454,0.109801,0.150232,0.154204,0.012816,-0.00945,-0.031101,-0.009659,0.092493,0.149803,-0.375627,-0.119139,-0.046194,-0.192975,0.082139,-0.296622,-0.037154,0.147668,-0.058668,-0.015354,-0.052169,0.432795,0.124894,-0.154896,-0.047769,-0.071013,-0.127504,0.070862,0.104471,0.035906,-0.081437,0.372096,-0.25972,0.07526,-0.044485,0.122629,0.132487,0.179813,0.096683,-0.042981,0.616885,0.176943,-0.067831,-0.231659,-0.540736,0.017852,-0.22389,0.200336,-0.162225,-0.11806,-0.052808,0.11456,0.017984,0.051121,0.019598,-0.029937,0.221493,0.012008,0.12164,0.033711,-0.249691,0.022626,-0.045278,-0.019358,-0.104144,0.110267,-0.160368,0.197934,0.128773,-0.039874,0.095459,-0.404918,0.104513,-0.062512,0.177379,-0.124689,-0.294631,0.109447,0.181969,-0.0526,-0.157842,0.060062,0.135573,0.424782,0.169582,0.14468,-0.138505,0.506997,-0.138181,-0.025693,0.06827,-0.029169,-0.379326,-0.144724,-0.081314,-0.118567,-0.271875,-0.010842,0.144607,0.213986,0.394176,0.17825,0.059987,0.004277,0.403723,-0.742052,-0.015364,0.192755,0.188876,-0.121931,-0.092862,0.083732,0.041785,0.14335,-0.131879,-0.030024,-0.12677,0.005952,-0.157217,0.523111,0.037136,-0.602337,0.049347,-0.180208,-0.122404,-0.095396,0.091016,0.175327,-0.098673,0.244556,0.051428,-0.089582,0.157347,0.08092,0.265192,-0.631425,0.211962,0.062252,-0.167102,-0.092054,0.341199,0.025457,-0.137514,0.14899,0.024124,0.09231,0.001561,-0.03474,-0.008638,0.131561,-0.104471,0.062739,-0.074959,-0.075192,-0.073122,-0.001701,0.205274,-0.149542,-0.143154,0.324005,-0.085823,0.037132,0.072881,0.065015,0.022206,-0.090241,-0.017947,0.20988,0.343528,0.175068,0.220992,0.069338,0.128107,-0.046022,-0.08064,0.134077,-0.073237,0.082397,0.159532,-0.104566,0.231641,0.05771,0.153162,-0.106335,0.167514,-0.293415,-0.22545,0.075728
